EventId,EventTemplate,Occurrences
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,3886
0a2f5089,PAGING,15799
e7ed9071,SYSTEM INFORMATION,4627
8883b77f,SIB5: F: <*> P: <*>,1219
19f1ee84,RRC CONNECTION <*>,5700
e17eede7,RRC CONNECTION <*> <*>,4246
7c254454,TRACKING AREA UPDATE <*>,922
8731ff20,DL INFORMATION TRANSFER,558
d569b07b,ATTACH <*>,64
c7258716,IDENTITY <*>,42
8c18cf06,UL INFORMATION TRANSFER,621
b9fd3309,SECURITY MODE <*>,775
7bc5722c,UE CAPABILITY <*>,1238
b27e190d,EMM INFORMATION,14
dd8f31b2,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: <*>,3579
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,591
ac830d2c,DETACH <*>,9
6577c5e3,AUTHENTICATION <*>,111
db87495a,UE INFORMATION <*>,50
bf85990a,DOWNLINK NAS TRANSPORT,38
99f84cdf,UPLINK NAS TRANSPORT,38
